fecha,tipo,precio_eur_kg
2025-08-07,lampante_picual,3.058
2025-08-08,lampante_picual,3.058
2025-08-11,lampante_picual,3.133
2025-08-12,lampante_picual,3.138
2025-08-13,lampante_picual,3.177
2025-08-14,lampante_picual,3.15
2025-08-20,lampante_picual,3.233
2025-08-22,lampante_picual,3.333
2025-08-25,lampante_picual,3.3
2025-08-28,lampante_picual,3.392
